trial,onset_time,structure,spike_count,burst_count,network_burst_count,equipment_name,sex,age_in_days,stimulus_frame_rate,session_type,date_of_acquisition,reporter_line,cre_line,behavior_session_uuid,driver_line,mouse_id,project_code,full_genotype,behavior_session_id,ecephys_session_id,session,subject_id,epoch_type,stimulus_type
5,994.9712814054396,VISl,787,2,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
5,994.9712814054396,VISpm,18,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
5,994.9712814054396,VISp,975,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
5,994.9712814054396,LGd,474,2,1,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
6,1013.7536483877332,VISl,589,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
6,1013.7536483877332,VISpm,17,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
6,1013.7536483877332,VISp,913,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
6,1013.7536483877332,LGd,520,1,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
7,1020.5092830288152,VISl,516,1,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
7,1020.5092830288152,VISpm,17,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
7,1020.5092830288152,VISp,930,1,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
7,1020.5092830288152,LGd,478,2,1,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
8,1029.5335173495591,VISl,505,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
8,1029.5335173495591,VISpm,16,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
8,1029.5335173495591,VISp,661,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
8,1029.5335173495591,LGd,542,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
9,1047.5485820162255,VISl,557,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
9,1047.5485820162255,VISpm,20,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
9,1047.5485820162255,VISp,892,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
9,1047.5485820162255,LGd,671,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
10,1054.3042356293674,VISl,522,2,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
10,1054.3042356293674,VISpm,17,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
10,1054.3042356293674,VISp,769,1,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
10,1054.3042356293674,LGd,563,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
11,1072.3192956293674,VISl,455,3,1,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
11,1072.3192956293674,VISpm,11,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
11,1072.3192956293674,VISp,819,2,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
11,1072.3192956293674,LGd,523,6,1,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
12,1090.3343594627006,VISl,726,3,1,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
12,1090.3343594627006,VISpm,25,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
12,1090.3343594627006,VISp,916,0,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
12,1090.3343594627006,LGd,594,1,0,NP.1,F,225,60.0,EPHYS_2,2022-06-07 21:25:34.215000+00:00,Ai32(RCL-ChR2(H134R)_EYFP),Sst-IRES-Cre,3bbedd1d-cf74-492b-b20a-14d6bc5cd3dd,Sst-IRES-Cre,607660,Not Available,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,1182661832,1182628226,G:\SWDB_COLLAB\data\sub-607660\sub-607660_ses-20220607T212534.nwb,sub-607660,no_reward,change
