,trial,subject_id,session,onset_time,mean_speed,num_licks,num_rewards,num_blinks,pupil_dil,structure,spike_count,burst_count,exponent,spectra_flat
0,0,sub-607660,0220607,5189.394926238194,8.953436238377652,0,0,0,64.69824940148125,VISp,1424,2,0.533435438365427,"[ 0.04473013  0.09155235  0.11242663  0.12816247  0.14550776  0.1600232
  0.16487884  0.15695274  0.13792899  0.11258818  0.08630958  0.06299056
  0.04412266  0.02910468  0.01622331  0.00362829 -0.01002676 -0.02528069
 -0.04179712 -0.05847033 -0.07369551 -0.08578619 -0.09344729 -0.09613424
 -0.09414192 -0.08839949 -0.08009945 -0.07034213 -0.05991633 -0.0492417
 -0.0384344  -0.02743688 -0.01615684 -0.00457554  0.00719632  0.01891711
  0.03025401  0.04084278  0.05034673  0.05850182  0.06514222  0.07020681
  0.07373187  0.07583438  0.07669141  0.07651836  0.07554902  0.0740183
  0.07214816  0.07013691  0.06815165  0.06632348  0.06474525  0.06347185
  0.06252206  0.06188254  0.06151279  0.06135102  0.06132044  0.0613353
  0.06130659  0.06114679  0.06077392  0.06011456  0.05910589  0.05769719
  0.0558504   0.0535405   0.05075529  0.04749506  0.04377203  0.03960958
  0.03504152  0.03011108  0.02486987  0.01937668  0.01369616  0.0078973
  0.00205189 -0.00376718 -0.00948772 -0.01503989 -0.02035788 -0.02538149
 -0.03005739 -0.03434021 -0.03819333 -0.04158925 -0.04450977 -0.04694571
 -0.04889645 -0.05036917 -0.05137799 -0.05194283 -0.05208842 -0.05184319
 -0.0512381  -0.05030585 -0.04907982 -0.04759347 -0.04587963 -0.04397
 -0.04189476 -0.03968241 -0.03735935 -0.03495006 -0.03247678 -0.02995984
 -0.02741737 -0.02486571 -0.02231935 -0.01979102 -0.01729198 -0.01483202
 -0.01241966 -0.01006226 -0.00776615 -0.00553676 -0.00337868 -0.00129581
  0.00070856  0.00263174  0.00447146  0.00622591  0.00789368  0.00947362
  0.01096495  0.01236718]"
1,0,sub-607660,0220607,5189.394926238194,8.953436238377652,0,0,0,64.69824940148125,VISpm,79,0,2.8644929155059002,"[ 0.22608475  0.17803064  0.10718644  0.02881409 -0.04266762 -0.09487478
 -0.11430977 -0.09295109 -0.03991091  0.02430803  0.08284157  0.12773263
  0.15735152  0.17300944  0.17693397  0.1713636   0.15826388  0.13935809
  0.11629172  0.09079693  0.06475473  0.04010185  0.01859647  0.00152612
 -0.01051948 -0.01770882 -0.02083858 -0.02107546 -0.01967102 -0.01773091
 -0.0160731  -0.01517202 -0.01516745 -0.01591579 -0.01706616 -0.01814817
 -0.01866142 -0.01815667 -0.01629973 -0.01291087 -0.0079765  -0.00163537
  0.00585415  0.01415631  0.02290071  0.03171926  0.04027341  0.0482714
  0.05547651  0.06170866  0.06684134  0.0707962   0.07353646  0.07506019
  0.07539438  0.07458951  0.07271533  0.06985715  0.06611287  0.06159043
  0.05640533  0.05067832  0.04453277  0.03809202  0.03147639  0.02480016
  0.01816864  0.01167536  0.00539971 -0.0005947  -0.00626099 -0.01156904
 -0.01650465 -0.02106784 -0.0252705  -0.02913357 -0.03268389 -0.03595113
 -0.03896471 -0.0417513  -0.04433256 -0.04672362 -0.04893198 -0.05095724
 -0.0527911  -0.05441812 -0.05581676 -0.05696097 -0.05782168 -0.05836871
 -0.05857288 -0.05840745 -0.05785003 -0.05688402 -0.05549951 -0.05369418
 -0.05147358 -0.04885113 -0.04584762 -0.04249073 -0.03881373 -0.03485472
 -0.03065526 -0.02625877 -0.02170995 -0.01705279 -0.01233032 -0.00758296
 -0.00284834  0.00183975  0.00645156  0.01096173  0.01534952  0.01959885
  0.02369816  0.02764048  0.03142288  0.0350467   0.03851668  0.04184089
  0.04503057  0.04809915  0.05106248  0.05393786  0.05674383  0.05949996
  0.06222601  0.06494176]"
2,0,sub-607660,0220607,5189.394926238194,8.953436238377652,0,0,0,64.69824940148125,LGd,735,0,0.832106160517019,"[-0.09996176 -0.08005162 -0.0225678   0.05559993  0.14683961  0.24250123
  0.32754201  0.38997784  0.42535141  0.43479829  0.4224778   0.39429993
  0.3574945   0.3200289   0.28909426  0.26891404  0.25942039  0.25705771
  0.25701082  0.25515748  0.24893148  0.23734252  0.22064586  0.19995082
  0.17685424  0.15310012  0.13026985  0.10953903  0.09155217  0.07644206
  0.06396862  0.05371028  0.04523593  0.03821246  0.03243869  0.02782092
  0.02431764  0.02187839  0.020397    0.0196884   0.01949107  0.01948883
  0.01934372  0.01873042  0.01736587  0.01503124  0.01158452  0.00696542
  0.00119392 -0.00563574 -0.01336476 -0.02178166 -0.03063653 -0.03965703
 -0.04856502 -0.05709405 -0.06500552 -0.07210282 -0.07824178 -0.08333623
 -0.08735855 -0.09033484 -0.09233611 -0.09346671 -0.09385152 -0.09362373
 -0.09291382 -0.09184127 -0.09050859 -0.08899811 -0.08737088 -0.08566752
 -0.08391035 -0.08210641 -0.08025091 -0.0783308  -0.07632813 -0.07422309
 -0.07199664 -0.06963217 -0.0671171  -0.06444355 -0.0616087  -0.05861452
 -0.05546745 -0.05217762 -0.04875809 -0.04522371 -0.04159056 -0.03787502
 -0.03409281 -0.03025875 -0.0263861  -0.02248619 -0.01856831 -0.01463959
 -0.01070504 -0.00676756 -0.00282833  0.00111322  0.00505883  0.00901136
  0.0129743   0.01695139  0.02094645  0.02496287  0.0290035   0.03307021
  0.03716386  0.04128392  0.04542851  0.04959423  0.05377617  0.05796789
  0.0621615   0.06634776  0.07051619  0.07465522  0.07875242  0.0827946
  0.08676805  0.09065876  0.09445254  0.09813524  0.10169297  0.10511207
  0.10837948  0.11148271]"
3,0,sub-607660,0220607,5189.394926238194,8.953436238377652,0,0,0,64.69824940148125,VISl,794,3,0.6155254311783417,"[-2.06291128e-01  3.31905592e-03  1.08711214e-01  1.45158007e-01
  1.37019744e-01  1.07832757e-01  7.91081579e-02  6.52779408e-02
  7.01554509e-02  8.92115015e-02  1.14673596e-01  1.39061192e-01
  1.56720545e-01  1.64313046e-01  1.60701929e-01  1.46463134e-01
  1.23255232e-01  9.32318696e-02  5.86019177e-02  2.13828428e-02
 -1.66615262e-02 -5.39628890e-02 -8.90692566e-02 -1.20634388e-01
 -1.47512020e-01 -1.68916897e-01 -1.84561884e-01 -1.94683463e-01
 -1.99928207e-01 -2.01147929e-01 -1.99189119e-01 -1.94747179e-01
 -1.88313381e-01 -1.80201048e-01 -1.70617517e-01 -1.59744613e-01
 -1.47799802e-01 -1.35064807e-01 -1.21881889e-01 -1.08628389e-01
 -9.56820292e-02 -8.33885027e-02 -7.20370095e-02 -6.18461238e-02
 -5.29582468e-02 -4.54401826e-02 -3.92874982e-02 -3.44307055e-02
 -3.07424403e-02 -2.80454312e-02 -2.61216190e-02 -2.47226128e-02
 -2.35821713e-02 -2.24303449e-02 -2.10090220e-02 -1.90876450e-02
 -1.64778732e-02 -1.30453627e-02 -8.71734870e-03 -3.48500552e-03
  2.59965286e-03  9.43167868e-03  1.68647314e-02  2.47245765e-02
  3.28229373e-02  4.09701806e-02  4.89861645e-02  5.67083545e-02
  6.39973897e-02  7.07401840e-02  7.68509461e-02  8.22705542e-02
  8.69647186e-02  9.09213186e-02  9.41472376e-02  9.66649531e-02
  9.85090812e-02  9.97230765e-02  1.00355897e-01  1.00459461e-01
  1.00085988e-01  9.92859703e-02  9.81065432e-02  9.65901699e-02
  9.47739989e-02  9.26893416e-02  9.03616052e-02  8.78106947e-02
  8.50513124e-02  8.20936812e-02  7.89446115e-02  7.56079713e-02
  7.20857499e-02  6.83791502e-02  6.44889348e-02  6.04163585e-02
  5.61638626e-02  5.17352303e-02  4.71361647e-02  4.23743714e-02
  3.74596496e-02  3.24039424e-02  2.72212566e-02  2.19272319e-02
  1.65393290e-02  1.10760040e-02  5.55697274e-03  2.24871268e-06
 -5.56755877e-03 -1.11321476e-02 -1.66715292e-02 -2.21662023e-02
 -2.75977315e-02 -3.29485780e-02 -3.82025303e-02 -4.33445867e-02
 -4.83611198e-02 -5.32398577e-02 -5.79698010e-02 -6.25411369e-02
 -6.69453341e-02 -7.11746734e-02 -7.52226061e-02 -7.90831437e-02
 -8.27509659e-02 -8.62215626e-02 -8.94906452e-02 -9.25543669e-02]"
4,1,sub-607660,0220607,5191.396746238194,9.336086163917873,0,0,0,67.10774601149332,VISp,1288,0,0.9923476232422391,"[-0.23919874 -0.09461639 -0.00964904  0.02815483  0.04832887  0.07108431
  0.09689155  0.11641532  0.1231703   0.11672791  0.10053955  0.0792966
  0.05726162  0.03769697  0.02311759  0.01570596  0.01722041  0.0283353
  0.04804054  0.07374663  0.10207375  0.12976526  0.15426219  0.17386457
  0.18763723  0.19523007  0.19670902  0.19243055  0.18295904  0.1690157
  0.15144573  0.13119287  0.10927164  0.08673018  0.06459831  0.04382118
  0.02518457  0.00924597 -0.00371169 -0.01368913 -0.02093843 -0.02589682
 -0.02910355 -0.03111817 -0.03245454 -0.03353731 -0.03468108 -0.03608806
 -0.03785882 -0.04001032 -0.04249723 -0.04523245 -0.04810554 -0.05099721
 -0.05378969 -0.05637306 -0.05864856 -0.06052901 -0.06193859 -0.06281146
 -0.06309158 -0.06273248 -0.06169865 -0.05996733 -0.05753085 -0.05439866
 -0.0505991  -0.04617994 -0.04120778 -0.03576622 -0.02995282 -0.0238753
 -0.01764715 -0.01138316 -0.00519515  0.00081185  0.00654272  0.0119146
  0.01685875  0.02132117  0.02526306  0.02866052  0.03150384  0.03379652
  0.03555381  0.0368013   0.03757332  0.0379111   0.0378612   0.03747375
  0.03680059  0.03589402  0.03480513  0.03358243  0.03227092  0.03091101
  0.02953777  0.02818054  0.02686263  0.02560118  0.02440747  0.02328711
  0.02224049  0.02126371  0.02034875  0.01948483  0.01865854  0.01785521
  0.01705909  0.01625452  0.01542623  0.0145599   0.01364279  0.01266395
  0.01161455  0.01048819  0.00928079  0.00799101  0.00661986  0.00517083
  0.00364996  0.0020652   0.00042681 -0.00125341 -0.00296212 -0.00468456
 -0.00640521 -0.00810788]"
5,1,sub-607660,0220607,5191.396746238194,9.336086163917873,0,0,0,67.10774601149332,VISpm,76,0,1.8672997494595012,"[-2.56995928e-01 -9.83053957e-02  4.94564757e-02  1.79423238e-01
  2.84703791e-01  3.58969649e-01  4.00308063e-01  4.11339082e-01
  3.97304156e-01  3.64285801e-01  3.18305381e-01  2.65265380e-01
  2.11210321e-01  1.62143591e-01  1.23011782e-01  9.63916460e-02
  8.19819158e-02  7.73555436e-02  7.92924658e-02  8.47859507e-02
  9.14357028e-02  9.74488745e-02  1.01528242e-01  1.02783014e-01
  1.00681951e-01  9.50283845e-02  8.59388641e-02  7.38165866e-02
  5.93145553e-02  4.32827966e-02  2.66935367e-02  1.05424844e-02
 -4.26599786e-03 -1.70308437e-02 -2.73370442e-02 -3.50869119e-02
 -4.04722015e-02 -4.38983514e-02 -4.58855326e-02 -4.69722285e-02
 -4.76397823e-02 -4.82652554e-02 -4.91007208e-02 -5.02730516e-02
 -5.17967979e-02 -5.35948333e-02 -5.55218568e-02 -5.73886257e-02
 -5.89851026e-02 -6.01015369e-02 -6.05465484e-02 -6.01619265e-02
 -5.88332447e-02 -5.64960548e-02 -5.31381664e-02 -4.87974342e-02
 -4.35567426e-02 -3.75361497e-02 -3.08839201e-02 -2.37668833e-02
 -1.63611988e-02 -8.84410384e-03 -1.38691500e-03  5.85044477e-03
  1.27234158e-02  1.91054824e-02  2.48895040e-02  2.99882755e-02
  3.43342700e-02  3.78788886e-02  4.05913769e-02  4.24575534e-02
  4.34784604e-02  4.36690134e-02  4.30566937e-02  4.16803071e-02
  3.95888074e-02  3.68401738e-02  3.35002909e-02  2.96418688e-02
  2.53432737e-02  2.06873150e-02  1.57599231e-02  1.06488059e-02
  5.44186530e-03  2.25679872e-04 -4.91612883e-03 -9.90441143e-03
 -1.46660993e-02 -1.91354917e-02 -2.32553692e-02 -2.69778855e-02
 -3.02650390e-02 -3.30888309e-02 -3.54310426e-02 -3.72826747e-02
 -3.86430662e-02 -3.95188034e-02 -3.99224000e-02 -3.98709888e-02
 -3.93848556e-02 -3.84862044e-02 -3.71979296e-02 -3.55425014e-02
 -3.35412579e-02 -3.12136476e-02 -2.85768866e-02 -2.56457247e-02
 -2.24323480e-02 -1.89466153e-02 -1.51962892e-02 -1.11872337e-02
 -6.92417932e-03 -2.41076734e-03  2.34946292e-03  7.35314295e-03
  1.25960422e-02  1.80732627e-02  2.37783642e-02  2.97033855e-02
  3.58387064e-02  4.21726783e-02  4.86918158e-02  5.53806734e-02
  6.22220535e-02  6.91970174e-02  7.62852307e-02  8.34651496e-02]"
6,1,sub-607660,0220607,5191.396746238194,9.336086163917873,0,0,0,67.10774601149332,LGd,655,1,1.6116498409913553,"[ 0.13128461  0.0366995   0.00545844  0.01537502  0.0432164   0.07720923
  0.10966576  0.13533621  0.1533085   0.16605414  0.17619769  0.18418556
  0.18836431  0.18648128  0.17696089  0.15932585  0.13404107  0.10222231
  0.06546385  0.0258398  -0.01400623 -0.05086376 -0.08126031 -0.10216193
 -0.11185949 -0.11053889 -0.10012881 -0.08352401 -0.06367801 -0.04298789
 -0.02307435 -0.00484124  0.01134093  0.02543442  0.03756893  0.04792662
  0.05667599  0.0639438   0.06981244  0.07433142  0.07753401  0.07945264
  0.08013093  0.07963051  0.07803366  0.07544223  0.07197416  0.06775854
  0.06293003  0.05762336  0.05196835  0.04608614  0.04008632  0.03406568
  0.02810786  0.02228425  0.0166554   0.01127295  0.00618136  0.00141962
 -0.00297769 -0.00697975 -0.01055955 -0.01369429 -0.01636619 -0.01856345
 -0.02028129 -0.02152274 -0.0222992  -0.02263067 -0.02254552 -0.02207986
 -0.02127661 -0.02018422 -0.01885518 -0.0173445  -0.01570806 -0.01400117
 -0.01227701 -0.01058559 -0.00897254 -0.00747838 -0.00613786 -0.00497949
 -0.0040254  -0.00329116 -0.00278594 -0.00251265 -0.00246829 -0.00264434
 -0.00302729 -0.00359914 -0.00433801 -0.00521884 -0.006214   -0.00729398
 -0.00842807 -0.00958499 -0.01073356 -0.01184323 -0.01288462 -0.01383
 -0.01465365 -0.01533221 -0.01584488 -0.01617361 -0.0163032  -0.01622124
 -0.01591821 -0.01538724 -0.01462404 -0.01362678 -0.01239576 -0.0109334
 -0.00924377 -0.00733265 -0.00520709 -0.00287538 -0.00034674  0.00236874
  0.00526034  0.00831675  0.01152632  0.01487704  0.01835664  0.02195282
  0.02565311  0.02944502]"
7,1,sub-607660,0220607,5191.396746238194,9.336086163917873,0,0,0,67.10774601149332,VISl,541,1,1.0873597549994864,"[-0.08763357  0.04513085  0.18516797  0.27814689  0.31880774  0.31921425
  0.29502649  0.26140627  0.23182716  0.21676129  0.22110793  0.24242176
  0.27289159  0.30377647  0.32858535  0.34380562  0.34828077  0.3423568
  0.32723924  0.30459959  0.27635238  0.24451978  0.2111208   0.17804453
  0.14689417  0.11882428  0.09442251  0.07368894  0.05613216  0.04095293
  0.02725529  0.01422932  0.00127536 -0.01193336 -0.02543841 -0.03902017
 -0.0522481  -0.06455108 -0.07530286 -0.08391451 -0.08992098 -0.09304661
 -0.09323594 -0.090645   -0.08559854 -0.07852732 -0.06990229 -0.06017931
 -0.0497617  -0.03898169 -0.02809768 -0.01730216 -0.00673514  0.0035007
  0.01332693  0.02267853  0.03149741  0.03972864  0.04731983  0.05422209
  0.06039202  0.06579411  0.07040266  0.07420329  0.07719367  0.07938345
  0.08079385  0.0814565   0.08141204  0.08070855  0.07939985  0.07754394
  0.07520134  0.07243375  0.06930272  0.06586856  0.06218938  0.05832029
  0.05431281  0.05021431  0.04606773  0.04191133  0.03777855  0.03369821
  0.02969442  0.02578696  0.02199151  0.01832009  0.01478142  0.01138135
  0.00812339  0.00500906  0.0020384  -0.00078972 -0.00347719 -0.00602636
 -0.00843989 -0.01072041 -0.01287048 -0.01489243 -0.01678836 -0.01856003
 -0.02020891 -0.02173622 -0.02314286 -0.02442959 -0.02559694 -0.02664533
 -0.02757509 -0.02838651 -0.02907982 -0.02965531 -0.03011325 -0.03045404
 -0.03067809 -0.03078599 -0.03077842 -0.03065628 -0.03042061 -0.03007269
 -0.02961413 -0.02904676 -0.02837283 -0.0275949  -0.02671596 -0.02573944
 -0.02466922 -0.02350968]"
8,2,sub-607660,0220607,5193.398416238194,12.062331971594082,0,0,0,67.25865877981649,VISp,1209,1,1.3804930198829894,"[-0.11805477 -0.07581523 -0.02313549  0.02982061  0.07229245  0.0955303
  0.09672433  0.07843214  0.04630272  0.00732088 -0.03134223 -0.0635164
 -0.08529887 -0.09553637 -0.09505224 -0.08545764 -0.06858885 -0.04658753
 -0.02197885  0.00261335  0.02494657  0.04352046  0.05768055  0.0675098
  0.07361216  0.07687278  0.07824451  0.07858582  0.07855987  0.07859299
  0.07888123  0.07942788  0.08009455  0.08065268  0.08082801  0.08033566
  0.07890682  0.07630862  0.07235912  0.06693814  0.05999465  0.05155078
  0.0417026   0.03061761  0.018529    0.00572678 -0.00745444 -0.02065052
 -0.03348579 -0.04559281 -0.05663305 -0.06631643 -0.07441809 -0.08079006
 -0.08536694 -0.0881644  -0.08927164 -0.08883864 -0.08706058 -0.08416126
 -0.08037751 -0.07594577 -0.07109155 -0.06602182 -0.06092023 -0.0559445
 -0.05122571 -0.04686857 -0.04295262 -0.03953378 -0.03664615 -0.03430381
 -0.03250265 -0.03122219 -0.03042727 -0.03006992 -0.03009114 -0.03042294
 -0.03099031 -0.03171359 -0.03251082 -0.03330021 -0.03400272 -0.03454449
 -0.03485929 -0.03489052 -0.03459293 -0.03393387 -0.0328939  -0.03146694
 -0.02965973 -0.02749083 -0.02498908 -0.02219185 -0.01914292 -0.01589042
 -0.01248458 -0.00897589 -0.00541311 -0.00184195  0.00169647  0.00516637
  0.00853807  0.0117885   0.01490122  0.01786648  0.02068096  0.02334732
  0.0258738   0.02827345  0.03056346  0.03276456  0.0348999   0.03699463
  0.03907458  0.04116601  0.04329427  0.04548365  0.04775618  0.0501314
  0.05262584  0.05525249  0.05802067  0.0609358   0.06399936  0.06720892
  0.07055835  0.07403804]"
9,2,sub-607660,0220607,5193.398416238194,12.062331971594082,0,0,0,67.25865877981649,VISpm,73,0,0.869346831624509,"[ 0.10713832  0.02765433 -0.01948623 -0.01526495  0.01927699  0.05450789
  0.07407803  0.07392304  0.0563208   0.02591735 -0.0122848  -0.05371994
 -0.09444868 -0.13123047 -0.16164787 -0.18413435 -0.19777448 -0.20202985
 -0.1966843  -0.18209177 -0.15947894 -0.13096991 -0.09924193 -0.06700885
 -0.03659115 -0.0096968   0.01260864  0.02982389  0.04189698  0.04911407
  0.05200683  0.05127851  0.04774331  0.04227241  0.03574218  0.02898288
  0.02272961  0.01757997  0.01396403  0.01213153  0.01215826  0.01396955
  0.01737582  0.02211286  0.02788037  0.03437367  0.04130639  0.04842393
  0.05550912  0.06238234  0.06889818  0.07494073  0.08041858  0.08526053
  0.08941236  0.09283456  0.09550088  0.09739756  0.09852271  0.09888592
  0.09850758  0.09741823  0.0956575   0.09327287  0.09031837  0.08685306
  0.08293955  0.07864254  0.07402746  0.06915924  0.06410132  0.05891477
  0.05365767  0.04838463  0.04314647  0.03799007  0.03295818  0.02808942
  0.0234182   0.01897461  0.01478435  0.01086857  0.00724369  0.00392126
  0.00090773 -0.00179563 -0.00419276 -0.00629287 -0.00811013 -0.00966348
 -0.01097623 -0.01207542 -0.01299127 -0.01375646 -0.01440533 -0.01497312
 -0.01549518 -0.0160063  -0.01653992 -0.01712767 -0.01779867 -0.01857931
 -0.0194928  -0.02055886 -0.02179373 -0.0232099  -0.02481623 -0.02661784
 -0.0286163  -0.03080969 -0.03319274 -0.03575699 -0.03849105 -0.04138066
 -0.04440912 -0.04755728 -0.05080406 -0.05412648 -0.05750013 -0.06089939
 -0.06429773 -0.06766812 -0.07098335 -0.07421641 -0.07734081 -0.08033111
 -0.08316312 -0.08581437]"
